Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
2012-03-19,1332133200.0,WHR,69.1,51.78,1409.75,9.83,41.95,58.20,15.40,0.32,1.44,2.09,4.78,3.63,9.49,243.05,7270000000.0,7270000000.0,10.29,1.51,0.39,5.01,0.39,2580000000.0,5.01,390000000.0,4.99,19.90,2.60,1110000000.0,14.48,2490000000.0,1.02,54.69,530000000.0,2.11,0.58,101.40,6990000.0,2.30,11.10,8170000.0,1.0
2007-02-21,1172037600.0,WHR,72.65,-3.55,1457.63,-7.9,4.35,0.712,16.75,0.41,2.28,2.40,4.86,4.96,19.33,240.746,7400000000.0,9550000000.0,N/A,0.80,0.53,6.683,0.53,3050000000.0,6.683,486000000.0,5.66,13.50,25.30,262000000.0,3.359,2340000000.0,1.083,42.09,888000000.0,1.51,0.26,102.30,9020000.0,9.3,11.50,8570000.0,1.0
2008-02-01,1201845600.0,WHR,67.2,-59.91,1395.42,-40.81,-19.1,0.684,12.17,0.33,1.68,2.95,5.16,4.32,17.24,241.893,6590000000.0,8680000000.0,N/A,0.71,0.46,5.5,0.46,2660000000.0,5.5,593000000.0,7.01,49.60,0.10,258000000.0,3.338,2580000000.0,1.104,48.960999,731000000.0,1.12,10.49,88.50,6490000.0,5.2,8.40,5010000.0,0.0
2013-05-17,1368766800.0,WHR,119.61,13.79,1667.47,12.62,1.17,53.47,18.50,0.56,2.26,3.11,6.16,4.58,12.94,229.56,11830000000.0,11830000000.0,11.41,0.46,0.66,7.21,0.66,2890000000.0,7.21,561000000.0,7.03,173.90,2.30,750000000.0,9.47,2450000000.0,1.16,56.65,814000000.0,1.38,0.90,93.50,2340000.0,2.10,3.10,1880000.0,1.0
2011-11-03,1320296400.0,WHR,45.05,96.49,1261.15,12.14,84.35,57.90,11.18,0.20,0.86,1.89,4.26,3.27,8.81,244.98,5790000000.0,5790000000.0,7.69,0.62,0.31,4.25,0.31,2710000000.0,4.25,356000000.0,4.55,124.10,2.30,511000000.0,6.72,2510000000.0,1.03,57.87,5790000000.0,2.14,0.50,98.40,8970000.0,4.80,14.30,8109999.999999999,1.0
2013-04-25,1366866000.0,WHR,106.89,34.87,1585.16,17.55,17.32,56.35,23.57,0.53,2.25,2.21,5.81,4.31,9.83,232.31,10880000000.0,10880000000.0,10.57,0.43,0.60,6.78,0.60,2890000000.0,6.78,401000000.0,5.06,40.50,2.50,1170000000.0,14.87,2460000000.0,1.05,54.33,696000000.0,1.40,0.90,93.50,1690000.0,1.30,2.20,1870000.0,1.0
2009-02-12,1234418400.0,WHR,26.65,155.72,835.19,28.77,126.95,N/A,5.91,0.13,0.81,2.21,3.69,3.17,12.09,251.758,2370000000.0,4900000000.0,N/A,1.08,0.26,3.782,0.26,2890000000.0,3.782,418000000.0,5.50,76.50,19.00,146000000.0,2600000000.0,2600000000.0,1.086,41.178001,327000000.0,1.49,15.68,91.80,10090000.0,6.1,13.80,9650000.0,1.0
2005-01-31,1107151200.0,WHR,50.24,21.14,1181.27,8.36,12.78,1.125,10.90,0.34,3.19,3.39,6.46,5.88,33.75,185.801,4490000000.0,5770000000.0,11.30,1.61,0.45,6.88,0.45,2770000000.0,6.88,433000000.0,6.209,N/A,10.50,219000000.0,3.3,1550000000.0,1.119,20.909,783000000.0,1.012,1.40,95.00,4120000.0,5.322,6.29,4220000.0,1.0
2007-10-22,1193029200.0,WM,26.97,-16.94,1506.33,-36.6,19.66,N/A,7.95,1.84,1.07,24.97,36.91,0.90,11.89,15.145,25150000000.0,87150000000.0,N/A,1.24,6.36,N/A,6.36,20190000000.0,N/A,2970000000.0,3.66,8.20,0.20,12970000000.0,14.999,74470000000.0,N/A,27.084,1960000000.0,0.8,0.39,91.20,46040000.0,3.7,5.30,44010000.0,1.0
2006-08-18,1155877200.0,WM,23.63,7.49,1302.3,11.03,-3.54,N/A,12.42,3.02,1.61,24.62,51.51,1.02,14.21,14.83,42410000000.0,133389999999.99998,N/A,1.15,9.55,N/A,9.55,17940000000.0,N/A,3450000000.0,3.55,9.10,6.40,18230000000.0,19.041,109310000000.0,N/A,27.488001,21410000000.0,0.52,0.30,76.90,17190000.0,1.80,1.80,17640000.0,0.0
