,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
208,N/A,N/A,TSLA,N/A,N/A,N/A,N/A,N/A,189.72,84.94,4.92,11.24,13.09,11.46,3.79,52960000000.0,66.21,52960000000.0,60500000000.0,84.94,1.03,5.62,233.90,5.62,1600000000.0,52960000000.0,N/A,8.66,3530000000.0,29.90,3530000000.0,11720000000.0,11720000000.0,1.09,28.04,1020000000.0,52960000000.0,25.43,59.70,N/A,4.7,28.74,28090000.0,N/A
209,N/A,N/A,BKS,N/A,N/A,N/A,N/A,N/A,47.04,30.05,0.13,0.92,0.42,1.15,1.22,475830000.0,52.19,475830000.0,718240000.0,13.10,1.68,0.19,5.43,0.19,1210000000.0,475830000.0,N/A,0.22,11320000.0,7.90,11320000.0,0.16,242830000.0,1.11,7.11,90480000.0,475830000.0,24.58,70.26,N/A,0.00,0.00,0.6,N/A
210,N/A,N/A,JPM,N/A,N/A,N/A,N/A,N/A,66.96,15.26,3.94,1.58,28.85,38.65,1.06,367500000000.0,26.37,367500000000.0,108470000000.0,13.87,1.76,1.16,28.85,1.16,90310000000.0,367500000000.0,N/A,6.94,7.10,2.00,306.62,306.62,592310000000.0,66.96,66.96,22870000000.0,367500000000.0,0.71,76.04,N/A,2.03,0.66,28210000.0,N/A
211,N/A,N/A,ABC,N/A,N/A,N/A,N/A,N/A,183.76,52.87,0.12,9.16,0.24,1.32,3.66,18910000000.0,701.29,18910000000.0,20100000000.0,13.00,1.74,0.13,8.22,0.13,4550000000.0,18910000000.0,N/A,1.64,2440000000.0,4.20,2440000000.0,11.17,3790000000.0,0.91,9.47,1500000000.0,18910000000.0,26.33,70.84,N/A,4.39,6.65,11020000.0,N/A
212,N/A,N/A,MA,N/A,N/A,N/A,N/A,N/A,82.49,37.19,13.29,24.67,38.70,54.33,21.21,158680000000.0,11.10,158680000000.0,156190000000.0,27.96,1.83,13.08,22.63,13.08,10780000000.0,158680000000.0,N/A,4.03,20.80,18.00,7420000000.0,7.01,5390000000.0,1.66,6.08,4740000000.0,158680000000.0,10.84,78.70,N/A,2.03,0.73,6420000.0,N/A
213,N/A,N/A,ATVI,N/A,N/A,N/A,N/A,N/A,44.03,42.76,6.75,4.74,15.90,21.78,5.27,47200000000.0,9.31,47200000000.0,47290000000.0,24.39,1.81,6.77,20.63,6.77,4210000000.0,47200000000.0,N/A,1.46,5.50,3.20,3660000000.0,4.84,4390000000.0,2.25,13.18,1910000000.0,47200000000.0,7.53,90.48,N/A,2.46,2.51,12330000.0,N/A
214,N/A,N/A,KIM,N/A,N/A,N/A,N/A,N/A,12.25,21.29,6.57,1.49,0.00,33.18,1180000000.0,7790000000.0,2.80,7790000000.0,21.29,29.98,4.93,0.00,0.00,0.00,872270000.0,7790000000.0,N/A,0.86,156590000.0,872270000.0,156590000.0,5550000000.0,5550000000.0,12.25,12.25,641390000.0,7790000000.0,2.68,94.52,N/A,2.05,4.79,12640000.0,N/A
215,N/A,N/A,OI,N/A,N/A,N/A,N/A,N/A,599.15,15.96,0.57,4.68,3.57,9.72,4.24,3850000000.0,41.83,3850000000.0,9190000000.0,8.38,1.00,1.35,8.55,1.35,1210000000.0,3850000000.0,N/A,1.48,16.70,4.60,2.08,2.08,5630000000.0,1.23,5.04,303620000.0,3850000000.0,0.75,99.05,N/A,3.92,3.40,4670000.0,N/A
216,N/A,N/A,HBAN,N/A,N/A,N/A,N/A,N/A,8.91,18.02,3.98,1.67,24.61,39.93,0.98,16050000000.0,3.71,16050000000.0,25490000000.0,13.88,1.74,6.32,24.61,6.32,917830000.0,16050000000.0,N/A,0.82,116.20,21.20,1500000000.0,1.39,11090000000.0,8.91,8.91,1640000000.0,16050000000.0,0.96,80.94,N/A,1.95,1.52,19610000.0,N/A
217,N/A,N/A,VFC,N/A,N/A,N/A,N/A,N/A,111.32,30.85,2.38,7.35,7.96,13.01,9.30,28980000000.0,30.17,28980000000.0,31250000000.0,21.32,3.34,2.57,16.65,2.57,5820000000.0,28980000000.0,N/A,2.38,22.50,5.40,1550000000.0,3.91,4380000000.0,1.47,9.98,1440000000.0,28980000000.0,0.69,88.26,N/A,6.38,4.57,15620000.0,N/A
